时间,容量
2020-01-12:22,76637295.92905091
2020-01-13:00,76883524.2757182
2020-01-13:02,77196764.17396487
2020-01-13:04,77368139.89964621
2020-01-13:06,77529156.8744366
2020-01-13:08,77769645.59520438
2020-01-13:10,77829406.60729823
2020-01-13:12,77882925.05473006
2020-01-13:14,77927956.03311059
2020-01-13:16,77961774.42057128
2020-01-13:18,77984959.47345391
2020-01-13:20,78007524.83301885
2020-01-13:22,78068326.75715524
2020-01-14:00,78430656.42030922
2020-01-14:02,78714426.28384435
2020-01-14:04,78833134.11620806
2020-01-14:06,78993403.30089098
2020-01-14:08,79080723.76709905
2020-01-14:10,79204551.63460429
2020-01-14:12,79277941.93446018
2020-01-14:14,79322058.31766246
2020-01-14:16,79356199.7875655
2020-01-14:18,79380211.50403564
2020-01-14:20,79403609.12992662
2020-01-14:22,79461126.43271647
2020-01-15:00,79838871.90451212
2020-01-15:02,80115429.63949162
2020-01-15:04,80241035.85792714
2020-01-15:06,80411362.097065
2020-01-15:08,80502374.1407626
2020-01-15:10,80558850.24344866
2020-01-15:12,80612420.71066563
2020-01-15:14,80657461.34179768
2020-01-15:16,80691691.92074159
2020-01-15:18,80716008.42519653
2020-01-15:20,80739679.14614777
2020-01-15:22,80798149.89436004
2020-01-16:00,81169473.09181081
2020-01-16:02,81498659.80075996
2020-01-16:04,81640541.45761268
2020-01-16:06,81798618.33506289
2020-01-16:08,81929898.77667715
2020-01-16:10,81987491.30020964
2020-01-16:12,82040212.79116876
2020-01-16:14,82083968.73713312
2020-01-16:16,82117897.46352203
2020-01-16:18,82141435.29647538
2020-01-16:20,82164026.73042448
2020-01-16:22,82224632.131835
2020-01-17:00,82595215.22641508
2020-01-17:02,82931442.20213577
2020-01-17:04,83087592.2292846
2020-01-17:06,83278958.93170859
2020-01-17:08,83413675.03833856
2020-01-17:10,83658501.28050315
2020-01-17:12,83692887.82792193
2020-01-17:14,83734520.46383649
2020-01-17:16,83767337.73794548
2020-01-17:18,83790549.23697588
2020-01-17:20,83812986.55642031
2020-01-17:22,83836426.9799013
2020-01-18:00,83870309.71836999
2020-01-18:02,83943237.90469077
2020-01-18:04,83985532.85254194
2020-01-18:06,84032096.66688943
2020-01-18:08,84058668.6110718
2020-01-18:10,84085706.96204142
2020-01-18:12,84146338.57140987
2020-01-18:14,84173109.71378407
2020-01-18:16,84197324.23428984
2020-01-18:18,84219215.0398323
2020-01-18:20,84240798.71694182
2020-01-18:22,84263243.06895436
2020-01-19:00,84288471.20756026
2020-01-19:02,84337293.85442872
2020-01-19:04,84387828.52337526
2020-01-19:06,84426721.57718816
2020-01-19:08,84460614.86219865
2020-01-19:10,84506722.63022798
2020-01-19:12,84558251.85140197
2020-01-19:14,84588265.35010484
2020-01-19:16,84613017.340055
2020-01-19:18,84635282.97992663
2020-01-19:20,84656994.357272
2020-01-19:22,84712818.71203186
2020-01-20:00,84920854.09588577
2020-01-20:02,85249869.28857441
2020-01-20:04,85376486.59304245
2020-01-20:06,85569087.73680554
2020-01-20:08,85667386.89812632
2020-01-20:10,85713008.2235325
2020-01-20:12,85758179.85859539
2020-01-20:14,85791399.06941827
